run_id,script,table,model,timestamp_utc,row_id,entity_id,reporting_year,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_s,status,error_msg
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:23:55,POLREF-ENT-NL-004-2019,ENT-NL-004,2019,472,360,832,0.000287,7.812,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:24:05,POLREF-ENT-NL-004-2020,ENT-NL-004,2020,472,347,819,0.000279,9.633,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:24:14,POLREF-ENT-NL-004-2021,ENT-NL-004,2021,472,344,816,0.000277,8.187,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:24:23,POLREF-ENT-NL-004-2022,ENT-NL-004,2022,472,364,836,0.000289,8.245,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:24:32,POLREF-ENT-NL-004-2023,ENT-NL-004,2023,472,337,809,0.000273,8.498,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:24:41,POLREF-ENT-NL-004-2024,ENT-NL-004,2024,489,393,882,0.000309,9.382,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:24:49,POLREF-ENT-UK-005-2019,ENT-UK-005,2019,470,279,749,0.000238,7.549,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:24:57,POLREF-ENT-UK-005-2020,ENT-UK-005,2020,470,362,832,0.000288,7.452,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:25:06,POLREF-ENT-UK-005-2021,ENT-UK-005,2021,470,326,796,0.000266,8.267,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:25:15,POLREF-ENT-UK-005-2022,ENT-UK-005,2022,470,299,769,0.00025,8.575,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:25:24,POLREF-ENT-UK-005-2023,ENT-UK-005,2023,470,379,849,0.000298,8.415,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:25:33,POLREF-ENT-UK-005-2024,ENT-UK-005,2024,487,356,843,0.000287,8.329,ok,
